user_id,signup_date,plan,region,acquisition_channel,segment,seats,mrr,active_days_90,support_tickets,csat,churned
U100031,2025-02-11,Free,LATAM,Paid,Mid-Market,1,0,4.0,2,3.6,0
U100032,2024-08-30,Free,NA,Paid,Mid-Market,1,0,,0,,0
U100033,2025-04-24,Free,NA,Organic,Mid-Market,1,0,5.0,0,,1
U100034,2025-03-19,Starter,NA,Organic,Enterprise,4,48,9.0,0,,0
U100035,2024-10-28,Free,,Organic,SMB,1,0,15.0,0,,0
U100036,2024-12-16,Starter,EMEA,Partner,SMB,3,36,14.0,1,4.8,0
U100037,2025-06-07,Starter,EMEA,Paid,SMB,5,60,29.0,0,,0
U100038,2024-09-07,Free,EMEA,Organic,Enterprise,1,0,0.0,0,,0
U100039,2025-01-04,Free,LATAM,Referral,Enterprise,1,0,14.0,1,3.8,0
U100040,2024-07-24,Enterprise,APAC,Referral,SMB,45,2205,27.0,6,3.6,0
U100041,2024-03-10,Enterprise,EMEA,Organic,Mid-Market,60,2940,27.0,6,4.8,1
U100042,2024-01-16,Business,EMEA,Paid,SMB,5,145,7.0,2,5.0,0
U100043,2025-02-27,Free,EMEA,Referral,Enterprise,1,0,4.0,1,3.0,0
U100044,2024-12-08,Free,NA,Organic,SMB,1,0,2.0,1,3.4,0
U100045,2024-04-03,Free,NA,Organic,SMB,1,0,0.0,0,,0
U100046,2025-01-07,Free,APAC,Paid,SMB,1,0,4.0,0,,0
U100047,2025-02-08,Free,NA,Organic,SMB,1,0,11.0,1,3.5,0
U100048,2024-02-27,Free,EMEA,Organic,SMB,1,0,1.0,0,,0
U100049,2024-11-16,starter,APAC,Organic,SMB,5,60,6.0,0,,1
U100050,2024-06-02,Free,EMEA,Paid,SMB,1,0,1.0,0,,0
U100051,2024-04-03,Business,NA,Paid,SMB,8,232,16.0,3,4.2,1
U100052,2024-10-27,Starter,NA,Referral,SMB,3,36,15.0,0,,0
U100053,2024-11-25,Free,EMEA,Organic,SMB,1,0,1.0,0,,0
U100054,2024-11-17,Starter,EMEA,Organic,Enterprise,6,72,19.0,2,4.3,1
U100055,2025-03-30,Free,APAC,Organic,SMB,1,0,17.0,0,,0
U100056,2025-04-18,Free,APAC,Organic,SMB,1,0,0.0,1,4.2,0
U100057,2025-05-04,Starter,NA,Partner,Mid-Market,4,48,18.0,2,5.0,0
U100058,2024-05-14,Starter,NA,Paid,Mid-Market,7,84,12.0,1,3.5,0
U100059,2025-01-25,Starter,EMEA,Paid,SMB,3,36,15.0,0,,0
U100060,2025-05-26,Free,EMEA,Paid,Mid-Market,1,0,11.0,0,,0
U100061,2025-05-13,Starter,NA,Paid,Mid-Market,4,48,13.0,0,,0
U100062,2025-03-29,Free,LATAM,Referral,SMB,1,0,11.0,0,,0
U100063,2024-01-03,Free,NA,Paid,Enterprise,1,0,0.0,0,,1
U100064,2024-04-05,Starter,EMEA,Partner,SMB,5,60,12.0,1,4.0,0
U100065,2024-02-16,Enterprise,EMEA,Paid,SMB,272,13328,18.0,1,5.0,1
U100066,2024-02-05,Business,EMEA,Paid,SMB,24,696,12.0,0,,0
U100067,2025-05-25,Free,NA,Paid,SMB,1,0,5.0,0,,0
U100068,2024-12-28,Free,NA,Referral,SMB,1,0,6.0,0,,0
U100069,2025-04-07,Business,NA,Paid,SMB,36,1044,8.0,3,5.0,0
U100070,2024-11-14,Free,EMEA,Organic,SMB,1,0,2.0,1,4.4,0
U100071,2025-03-07,Free,NA,Organic,SMB,1,0,0.0,0,,1
U100072,2025-05-08,Free,EMEA,Organic,SMB,1,0,6.0,0,,1
U100073,2025-05-01,Business,EMEA,Paid,Mid-Market,37,1073,22.0,0,,0
U100074,2025-02-02,Free,EMEA,Organic,SMB,1,0,0.0,0,,0
U100075,2024-09-14,Starter,LATAM,Paid,SMB,2,24,13.0,1,3.7,0
U100076,2024-02-27,Free,APAC,Organic,Mid-Market,1,0,10.0,0,,0
U100077,2024-07-13,Free,LATAM,Organic,Enterprise,1,0,12.0,1,5.0,0
U100078,2025-04-03,Free,EMEA,Organic,Enterprise,1,0,13.0,1,3.4,0
U100079,2025-05-14,Enterprise,LATAM,Organic,Mid-Market,253,12397,33.0,0,,0
U100080,2024-05-04,Free,NA,Paid,SMB,1,0,16.0,0,,0
U100081,2025-04-23,Starter,NA,Organic,Mid-Market,2,24,15.0,3,3.5,0
U100082,2024-12-04,Business,LATAM,Referral,SMB,30,870,2.0,0,,0
U100083,2024-06-04,Free,NA,Organic,SMB,1,0,0.0,2,4.5,0
U100084,2025-04-19,Enterprise,EMEA,Paid,SMB,284,13916,34.0,2,5.0,0
U100085,2024-04-10,Business,NA,Organic,Enterprise,37,1073,17.0,2,3.2,0
U100086,2024-05-01,Free,EMEA,Paid,SMB,1,0,9.0,0,,1
U100087,2024-08-08,Free,NA,Paid,SMB,1,0,13.0,0,,0
U100088,2024-09-24,Starter,EMEA,Referral,SMB,6,72,15.0,3,4.1,0
U100089,2025-01-11,Starter,EMEA,Referral,SMB,7,84,12.0,0,,0
U100090,2024-03-27,Business,APAC,Paid,SMB,26,754,21.0,1,5.0,0
U100091,2024-02-27,Business,EMEA,Partner,SMB,37,1073,21.0,2,3.7,0
U100092,2024-11-10,Free,EMEA,Organic,Mid-Market,1,0,7.0,0,,0
U100093,2024-01-14,Free,NA,Organic,Mid-Market,1,0,0.0,1,4.0,1
U100094,2024-02-14,Starter,EMEA,Organic,Enterprise,2,24,26.0,0,,0
U100095,2025-06-15,Free,APAC,Organic,SMB,1,0,0.0,1,4.3,0
U100096,2025-02-23,Business,APAC,Referral,Mid-Market,6,174,18.0,3,2.0,1
U100097,2024-04-18,Starter,NA,Paid,SMB,6,72,26.0,0,,0
U100098,2024-07-30,Starter,EMEA,Organic,Mid-Market,7,84,7.0,0,,0
U100099,2024-03-17,Starter,EMEA,Paid,SMB,2,24,13.0,0,,0
U100100,2024-01-18,Free,NA,Organic,SMB,1,0,15.0,0,,0
U100101,2024-01-29,Starter,APAC,Referral,Mid-Market,6,72,20.0,0,,0
U100102,2024-10-22,Business,EMEA,Paid,SMB,7,203,15.0,1,3.8,0
U100103,2024-06-30,Free,APAC,Paid,SMB,1,0,0.0,0,,1
U100104,2024-01-17,Free,EMEA,Referral,Mid-Market,1,0,9.0,0,,0
U100105,2024-01-22,Business,EMEA,Organic,Mid-Market,35,1015,8.0,2,3.6,0
U100106,2024-12-07,Starter,NA,Paid,Enterprise,3,36,16.0,1,3.9,0
U100107,2024-08-28,Starter,NA,Paid,SMB,4,48,4.0,1,5.0,0
U100108,2024-09-02,Free,NA,Organic,SMB,1,0,10.0,0,,0
U100109,2024-03-31,Free,APAC,Paid,SMB,1,0,0.0,1,4.1,1
U100110,2024-10-13,Enterprise,NA,Organic,SMB,166,8134,25.0,0,,0
U100111,2025-06-16,Enterprise,NA,Partner,Mid-Market,169,8281,40.0,1,4.1,0
U100112,2025-01-15,Free,EMEA,Partner,SMB,1,0,9.0,2,3.4,0
U100113,2024-11-29,Business,EMEA,Organic,Enterprise,28,812,12.0,1,5.0,0
U100114,2025-06-23,Free,LATAM,Organic,Mid-Market,1,0,4.0,0,,0
U100115,2025-03-12,business,APAC,Organic,Mid-Market,24,696,26.0,4,1.9,0
U100116,2024-05-02,Free,EMEA,Paid,Mid-Market,1,0,0.0,0,,0
U100117,2024-01-14,Free,NA,Organic,SMB,1,0,10.0,1,4.7,0
U100118,2024-01-05,Starter,APAC,Organic,Enterprise,2,24,13.0,0,,0
U100119,2024-06-14,Business,EMEA,Organic,Mid-Market,14,406,13.0,0,,0
U100120,2025-01-02,Free,EMEA,Paid,SMB,1,0,15.0,0,,1
U100121,2024-12-07,Enterprise,EMEA,Referral,Enterprise,194,9506,25.0,4,4.3,0
U100122,2024-08-16,Starter,NA,Paid,SMB,5,60,10.0,1,4.2,1
U100123,2024-11-23,Starter,NA,Organic,SMB,4,48,12.0,1,4.8,0
U100124,2025-06-19,Free,NA,Paid,SMB,1,0,13.0,1,3.7,0
U100125,2024-02-07,Starter,NA,Referral,SMB,5,60,5.0,1,4.6,0
U100126,2025-01-29,Starter,NA,Paid,Enterprise,3,36,27.0,1,3.6,0
U100127,2024-12-25,Business,LATAM,Organic,SMB,39,1131,28.0,3,3.5,1
U100128,2025-03-22,Business,APAC,Organic,SMB,17,493,22.0,4,2.9,0
U100129,2024-09-25,Enterprise,APAC,Organic,Enterprise,132,6468,26.0,5,3.9,0
U100130,2024-07-05,Enterprise,EMEA,Referral,SMB,161,7889,19.0,2,3.3,0
U100131,2024-07-17,Free,NA,Organic,Enterprise,1,0,3.0,0,,0
U100132,2024-08-25,Free,EMEA,Organic,Mid-Market,1,0,4.0,0,,0
U100133,2024-02-01,Starter,LATAM,Organic,SMB,2,24,24.0,1,3.1,0
U100134,2024-12-02,Starter,EMEA,Organic,Enterprise,4,48,20.0,0,,0
U100135,2025-01-31,Business,,Organic,SMB,14,406,20.0,0,,1
U100136,2024-05-10,Enterprise,APAC,Partner,SMB,152,7448,18.0,1,3.8,0
U100137,2025-02-02,Starter,NA,Organic,SMB,6,72,7.0,1,3.0,0
U100138,2025-03-30,Free,LATAM,Organic,Mid-Market,1,0,3.0,0,,1
U100139,2024-10-06,Free,APAC,Paid,Mid-Market,1,0,0.0,0,,0
U100140,2025-02-22,Starter,NA,Organic,SMB,5,60,23.0,0,,0
U100141,2025-06-06,Free,APAC,Paid,SMB,1,0,10.0,0,,1
U100142,2025-06-06,Business,NA,Partner,Mid-Market,31,899,28.0,1,3.4,0
U100143,2024-08-25,Starter,LATAM,Organic,SMB,3,36,0.0,0,,0
U100144,2025-04-10,Business,LATAM,Organic,Mid-Market,34,986,24.0,0,,0
U100145,2025-06-15,Enterprise,NA,Organic,SMB,87,4263,34.0,5,4.8,0
U100146,2025-04-16,Starter,APAC,Organic,SMB,2,24,18.0,1,3.7,0
U100147,2024-10-26,Starter,EMEA,Organic,SMB,6,72,18.0,1,3.1,0
U100148,2024-03-21,Free,APAC,Partner,SMB,1,0,0.0,0,,0
U100149,2024-08-10,Starter,NA,Paid,SMB,6,72,29.0,0,,0
U100150,2024-10-30,Starter,EMEA,Paid,Mid-Market,3,36,11.0,0,,1
U100151,2024-06-29,Business,APAC,Referral,SMB,10,290,14.0,0,,0
U100152,2025-02-01,Enterprise,LATAM,Paid,SMB,61,2989,25.0,3,3.5,0
U100153,2024-06-29,Free,NA,Referral,SMB,1,0,0.0,0,,0
U100154,2025-04-16,Business,NA,Referral,SMB,9,261,19.0,3,5.0,0
U100155,2024-03-14,Business,EMEA,Partner,SMB,14,406,22.0,1,4.0,0
U100156,2024-08-30,Business,NA,Organic,SMB,36,1044,3.0,2,4.6,0
U100157,2025-06-04,Starter,LATAM,Organic,SMB,3,36,19.0,0,,0
U100158,2024-09-07,Enterprise,EMEA,Organic,SMB,97,4753,17.0,3,3.6,0
U100159,2025-01-17,Starter,NA,Organic,SMB,2,24,15.0,1,4.6,0
U100160,2024-02-03,Starter,APAC,Organic,SMB,6,72,28.0,0,,0
U100161,2025-02-12,Starter,NA,Referral,Mid-Market,7,84,20.0,1,4.1,0
U100162,2024-12-20,Business,NA,Referral,Enterprise,23,667,22.0,2,5.0,0
U100163,2024-10-14,Free,EMEA,Referral,SMB,1,0,2.0,1,3.8,1
U100164,2024-08-25,Starter,NA,Referral,Mid-Market,5,60,6.0,1,4.4,1
U100165,2024-01-07,Starter,EMEA,Paid,Enterprise,2,24,15.0,1,4.4,0
U100166,2024-09-11,Business,EMEA,Organic,SMB,16,464,25.0,0,,0
U100167,2024-03-17,Free,EMEA,Paid,Mid-Market,1,0,9.0,0,,0
U100168,2024-12-08,Free,EMEA,Organic,Mid-Market,1,0,10.0,0,,0
U100169,2025-01-09,Starter,NA,Organic,SMB,3,36,10.0,3,4.0,1
U100170,2024-10-29,Free,EMEA,Organic,Mid-Market,1,0,10.0,0,,0
U100171,2024-01-23,Starter,LATAM,Organic,Mid-Market,3,36,20.0,0,,0
U100172,2024-03-01,Starter,EMEA,Organic,SMB,2,24,10.0,1,4.8,0
U100173,2025-04-26,Free,NA,Organic,Mid-Market,1,0,17.0,1,4.4,1
U100174,2024-03-03,Free,LATAM,Paid,Mid-Market,1,0,,0,,0
U100175,2024-08-22,business,EMEA,Referral,SMB,27,783,12.0,1,4.7,0
U100176,2024-09-20,Starter,LATAM,Paid,Mid-Market,5,60,8.0,1,3.2,1
U100177,2024-05-29,Enterprise,NA,Organic,SMB,85,4165,24.0,0,,0
U100178,2024-01-20,Free,NA,Referral,SMB,1,0,6.0,0,,1
U100179,2024-11-29,Free,NA,Paid,Mid-Market,1,0,3.0,0,,0
U100180,2024-08-09,Business,APAC,Paid,SMB,38,1102,15.0,0,,0
U100181,2024-01-28,Free,NA,Paid,Mid-Market,1,0,0.0,0,,0
U100182,2024-02-08,Free,NA,Partner,Mid-Market,1,0,3.0,0,,0
U100183,2025-05-08,Starter,APAC,Paid,SMB,7,84,2.0,1,3.7,1
U100184,2024-03-07,Starter,NA,Paid,Mid-Market,7,84,,0,,0
U100185,2024-08-29,Business,APAC,Referral,Enterprise,16,464,26.0,1,3.5,0
U100186,2024-03-31,Free,NA,Referral,SMB,1,0,16.0,0,,0
U100187,2024-02-08,Free,NA,Paid,Mid-Market,1,0,19.0,0,,0
U100188,2024-01-15,Starter,LATAM,Organic,SMB,2,24,10.0,0,,0
U100189,2024-09-04,Free,LATAM,Organic,Enterprise,1,0,0.0,0,,0
U100190,2024-03-24,Starter,EMEA,Referral,Mid-Market,4,48,3.0,0,,1
U100191,2024-07-03,Free,LATAM,Paid,SMB,1,0,4.0,0,,0
U100192,2025-04-20,Starter,EMEA,Paid,SMB,4,48,30.0,1,4.3,0
U100193,2024-10-15,Business,NA,Referral,SMB,14,406,,1,4.1,0
U100194,2025-04-11,Starter,NA,Organic,SMB,6,72,16.0,1,4.1,0
U100195,2025-03-22,Business,EMEA,Partner,SMB,34,986,21.0,2,4.4,0
U100196,2024-12-04,Business,NA,Organic,Mid-Market,29,841,0.0,1,3.5,0
U100197,2025-06-01,Free,LATAM,Paid,Mid-Market,1,0,1.0,1,4.7,1
U100198,2024-12-21,Business,APAC,Paid,SMB,7,203,25.0,1,2.8,0
U100199,2025-05-26,free,LATAM,Paid,SMB,1,0,5.0,0,,1
U100200,2024-02-09,Free,NA,Organic,SMB,1,0,4.0,0,,0
U100201,2024-12-11,Enterprise,EMEA,Organic,Mid-Market,165,8085,30.0,3,4.4,0
U100202,2025-03-20,Business,EMEA,Paid,SMB,14,406,13.0,1,3.7,0
U100203,2024-05-29,Starter,NA,Referral,SMB,3,36,14.0,0,,0
U100204,2024-05-26,Business,NA,Referral,Enterprise,36,1044,19.0,2,5.0,1
U100205,2024-03-31,Starter,EMEA,Partner,Mid-Market,7,84,15.0,1,4.0,0
U100206,2025-05-31,Starter,EMEA,Organic,SMB,4,48,10.0,2,5.0,0
U100207,2024-09-12,Business,NA,Paid,Mid-Market,9,261,13.0,2,4.8,0
U100208,2025-04-25,Free,NA,Organic,SMB,1,0,4.0,0,,0
U100209,2024-10-13,Starter,NA,Organic,Enterprise,5,60,7.0,2,4.5,0
U100210,2024-03-05,Free,NA,Organic,Mid-Market,1,0,10.0,0,,0
U100211,2024-12-15,Enterprise,APAC,Organic,Enterprise,153,7497,14.0,0,,0
U100212,2024-05-13,Starter,APAC,Organic,SMB,7,84,8.0,3,3.4,0
U100213,2024-03-17,Starter,APAC,Paid,SMB,6,72,9.0,1,4.0,0
U100214,2024-09-10,Business,APAC,Organic,SMB,27,783,23.0,3,2.1,0
U100215,2024-05-28,Business,EMEA,Paid,SMB,10,290,21.0,0,,1
U100216,2025-03-31,Enterprise,APAC,Referral,SMB,286,14014,26.0,2,4.2,1
U100217,2024-12-02,Enterprise,NA,Referral,Enterprise,170,8330,25.0,3,3.0,0
U100218,2024-11-01,Business,EMEA,Organic,SMB,37,1073,11.0,2,4.4,1
U100219,2024-08-19,Free,EMEA,Paid,SMB,1,0,1.0,0,,0
U100220,2025-05-10,Enterprise,EMEA,Organic,Mid-Market,126,6174,35.0,2,4.0,0
U100221,2024-04-29,Free,NA,Organic,Mid-Market,1,0,0.0,0,,0
U100222,2024-10-06,Business,NA,Organic,Enterprise,36,1044,19.0,1,5.0,0
U100223,2024-04-10,Free,APAC,Organic,SMB,1,0,14.0,1,3.9,0
U100224,2025-02-20,Starter,NA,Referral,SMB,3,36,16.0,0,,0
U100225,2024-10-09,Free,LATAM,Organic,SMB,1,0,2.0,0,,0
U100226,2024-05-01,Starter,APAC,Referral,SMB,3,36,10.0,0,,0
U100227,2025-03-11,Enterprise,,Organic,SMB,177,8673,29.0,3,2.7,0
U100228,2025-01-20,Business,NA,Paid,SMB,37,1073,25.0,3,4.3,0
U100229,2024-05-27,Business,NA,Organic,SMB,34,986,22.0,3,4.2,0
U100230,2025-01-31,Free,NA,Referral,SMB,1,0,2.0,0,,0
U100231,2025-03-17,Starter,LATAM,Organic,SMB,6,72,15.0,0,,0
U100232,2025-04-12,Free,NA,Organic,Mid-Market,1,0,15.0,0,,0
U100233,2025-03-25,Business,NA,Paid,SMB,15,435,28.0,2,2.9,1
U100234,2025-02-27,Free,EMEA,Paid,SMB,1,0,15.0,0,,0
U100235,2024-08-13,Business,NA,Organic,SMB,39,1131,28.0,1,4.0,0
U100236,2025-02-02,Starter,EMEA,Organic,SMB,3,36,7.0,0,,0
U100237,2024-12-20,Enterprise,EMEA,Organic,SMB,54,2646,37.0,2,4.9,0
U100238,2024-05-15,Starter,APAC,Paid,SMB,3,36,17.0,0,,0
U100239,2025-01-13,Starter,EMEA,Organic,SMB,3,36,16.0,0,,0
U100240,2024-04-11,Starter,LATAM,Organic,SMB,4,48,13.0,0,,0
U100241,2025-01-25,Free,EMEA,Paid,Mid-Market,1,0,11.0,0,,0
U100242,2025-02-02,Free,NA,Organic,SMB,1,0,10.0,0,,1
U100243,2025-05-28,Business,APAC,Referral,Enterprise,12,348,30.0,3,2.6,0
U100244,2024-10-17,Free,NA,Referral,Mid-Market,1,0,11.0,0,,0
U100245,2024-08-18,Free,EMEA,Partner,SMB,1,0,1.0,0,,0
U100246,2024-02-26,Business,EMEA,Paid,SMB,10,290,20.0,0,,0
U100247,2025-04-21,Business,EMEA,Organic,SMB,13,377,4.0,3,4.2,0
U100248,2025-05-29,Free,NA,Paid,Enterprise,1,0,7.0,0,,0
U100249,2024-12-31,Business,APAC,Paid,SMB,10,290,40.0,2,3.3,0
U100250,2024-10-05,Free,NA,Organic,SMB,1,0,12.0,0,,0
U100251,2024-10-07,Starter,NA,Organic,SMB,3,36,21.0,0,,0
U100252,2024-10-19,Starter,APAC,Organic,SMB,4,48,28.0,1,3.9,0
U100253,2024-03-18,Starter,NA,Organic,Enterprise,3,36,8.0,0,,0
U100254,2024-02-07,Starter,EMEA,Paid,Mid-Market,3,36,22.0,2,4.1,0
U100255,2025-03-03,Starter,NA,Referral,Enterprise,4,48,12.0,2,4.7,0
U100256,2024-02-10,Free,APAC,Organic,Enterprise,1,0,0.0,0,,0
U100257,2024-09-07,Starter,EMEA,Paid,SMB,3,36,3.0,0,,0
U100258,2025-02-21,Starter,NA,Referral,SMB,6,72,5.0,1,4.2,0
U100259,2024-04-01,Free,APAC,Paid,Enterprise,1,0,7.0,0,,1
U100260,2024-09-12,Starter,NA,Organic,SMB,3,36,20.0,2,3.4,1
U100261,2025-03-19,Starter,APAC,Organic,Mid-Market,3,36,24.0,0,,0
U100262,2024-04-13,Starter,NA,Paid,SMB,5,60,9.0,0,,0
U100263,2024-07-17,Free,NA,Organic,SMB,1,0,10.0,0,,0
U100264,2024-06-23,Business,APAC,Organic,Enterprise,33,957,23.0,0,,0
U100265,2025-06-23,Free,APAC,Referral,Mid-Market,1,0,0.0,0,,1
U100266,2024-01-13,Free,APAC,Paid,SMB,1,0,10.0,1,5.0,0
U100267,2024-11-30,Starter,EMEA,Referral,SMB,5,60,26.0,0,,0
U100268,2024-11-18,Business,LATAM,Organic,SMB,39,1131,16.0,3,5.0,1
U100269,2024-12-31,Free,LATAM,Organic,SMB,1,0,2.0,0,,1
U100270,2024-12-09,Starter,NA,Paid,SMB,6,72,24.0,3,4.4,0
U100271,2024-08-05,Free,EMEA,Organic,Enterprise,1,0,0.0,0,,0
U100272,2025-04-21,Starter,NA,Referral,Enterprise,3,36,12.0,2,4.2,0
U100273,2024-09-08,Business,NA,Organic,SMB,33,957,20.0,1,4.0,0
U100274,2024-05-25,Free,NA,Organic,Enterprise,1,0,0.0,0,,0
U100275,2024-06-25,Free,NA,Organic,SMB,1,0,10.0,0,,0
U100276,2025-04-11,Free,NA,Organic,SMB,1,0,2.0,0,,0
U100277,2024-03-18,Starter,NA,Organic,SMB,4,48,13.0,1,3.7,0
U100278,2024-12-26,Business,APAC,Organic,SMB,39,1131,11.0,5,1.8,0
U100279,2024-08-07,Free,EMEA,Referral,SMB,1,0,19.0,0,,0
U100280,2024-05-04,Starter,NA,Paid,SMB,5,60,25.0,0,,0
U100281,2025-03-21,Free,LATAM,Partner,SMB,1,0,0.0,0,,0
U100282,2025-03-05,Free,,Organic,SMB,1,0,4.0,0,,0
U100283,2025-03-04,Starter,APAC,Organic,SMB,4,48,7.0,0,,0
U100284,2024-09-09,Starter,APAC,Organic,SMB,4,48,9.0,1,3.7,0
U100285,2024-10-02,Starter,LATAM,Paid,SMB,2,24,6.0,0,,0
U100286,2024-03-27,Free,EMEA,Organic,SMB,1,0,0.0,0,,0
U100287,2024-07-30,Business,NA,Referral,SMB,24,696,16.0,1,4.2,1
U100288,2025-02-22,Free,NA,Organic,Enterprise,1,0,15.0,0,,0
U100289,2024-06-20,Business,LATAM,Referral,Mid-Market,14,406,26.0,2,5.0,1
U100290,2024-08-27,Free,NA,Referral,Enterprise,1,0,8.0,0,,0
U100291,2024-08-29,Starter,NA,Organic,Mid-Market,6,72,5.0,3,4.3,1
U100292,2024-08-10,Free,APAC,Referral,Enterprise,1,0,0.0,0,,1
U100293,2024-07-03,Free,APAC,Organic,Mid-Market,1,0,11.0,0,,0
U100294,2024-03-03,Starter,LATAM,Organic,Mid-Market,5,60,2.0,1,3.0,0
U100295,2024-01-06,Business,APAC,Organic,SMB,9,261,13.0,0,,1
U100296,2024-11-17,Starter,NA,Paid,SMB,2,24,16.0,2,3.9,0
U100297,2024-08-20,Free,NA,Organic,Mid-Market,1,0,9.0,0,,0
U100298,2025-03-19,Starter,NA,Organic,Mid-Market,3,36,3.0,1,3.8,0
U100299,2025-03-12,Business,NA,Organic,SMB,9,261,10.0,2,3.2,0
U100300,2024-12-20,Enterprise,EMEA,Paid,SMB,195,9555,23.0,2,2.5,0
U100301,2025-03-26,Business,EMEA,Organic,SMB,17,493,28.0,2,3.7,0
U100302,2025-03-22,Free,EMEA,Organic,Mid-Market,1,0,3.0,0,,0
U100303,2024-04-29,Business,LATAM,Partner,Mid-Market,19,551,33.0,3,4.1,0
U100304,2024-10-18,Business,EMEA,Organic,Enterprise,34,986,6.0,1,4.3,1
U100305,2024-05-26,Free,LATAM,Partner,SMB,1,0,15.0,0,,0
U100306,2024-01-14,Starter,EMEA,Paid,SMB,7,84,10.0,0,,0
U100307,2024-10-22,Free,NA,Organic,SMB,1,0,0.0,0,,0
U100308,2024-11-21,Free,NA,Organic,Mid-Market,1,0,4.0,2,4.1,1
U100309,2024-07-31,Free,EMEA,Organic,Mid-Market,1,0,2.0,0,,0
U100310,2024-10-20,Free,APAC,Organic,Enterprise,1,0,14.0,1,4.0,0
U100311,2025-03-17,Enterprise,NA,Organic,SMB,87,4263,5.0,2,3.7,1
U100312,2024-11-04,Business,APAC,Organic,SMB,17,493,17.0,1,2.9,0
U100313,2024-04-14,starter,NA,Referral,Enterprise,3,36,19.0,3,3.0,1
U100314,2025-02-02,Free,EMEA,Organic,SMB,1,0,12.0,1,5.0,0
U100315,2024-11-30,Free,EMEA,Organic,SMB,1,0,12.0,0,,0
U100316,2024-01-09,Business,NA,Referral,Enterprise,12,348,23.0,1,4.8,0
U100317,2024-06-24,Starter,EMEA,Paid,Mid-Market,5,60,17.0,1,4.6,0
U100318,2025-02-07,Free,NA,Organic,Mid-Market,1,0,0.0,0,,0
U100319,2025-05-16,Free,EMEA,Organic,SMB,1,0,16.0,0,,0
U100320,2024-12-24,Enterprise,NA,Referral,SMB,48,2352,10.0,0,,0
U100321,2024-07-03,Business,EMEA,Organic,Mid-Market,23,667,20.0,3,4.0,1
U100322,2024-05-26,Free,EMEA,Paid,SMB,1,0,10.0,0,,1
U100323,2024-02-20,Business,LATAM,Paid,SMB,30,870,33.0,0,,1
U100324,2025-01-19,Free,NA,Organic,SMB,1,0,0.0,0,,0
U100325,2024-11-23,Free,NA,Organic,SMB,1,0,6.0,0,,0
U100326,2025-04-16,Enterprise,EMEA,Referral,SMB,211,10339,17.0,1,4.9,0
U100327,2024-11-08,Starter,APAC,Referral,Mid-Market,4,48,10.0,2,2.8,1
U100328,2025-06-04,Free,EMEA,Paid,SMB,1,0,14.0,0,,0
